weight_class,f1_reach,f1_stance,f1_sub_avg,f1_td_acc,f1_td_avg,f1_td_def,f1_weight,f2_reach,f2_stance,f2_sub_avg,f2_td_acc,f2_td_avg,f2_td_def,f2_weight,f1_wins,f1_losses,f1_draws,f2_wins,f2_losses,f2_draws,f1_age,f2_age,f1_height,f2_height
0,69.0,2,2.0,66,2.05,80,135.0,71.0,2,0.5,0,0.0,62,135.0,16,3,0,28,12,0,25,40,66,67
3,62.0,5,0.6,57,4.54,69,125.0,65.0,2,0.0,33,1.28,75,125.0,14,2,0,8,1,0,25,26,63,64
7,73.0,2,0.0,57,0.36,84,185.0,73.0,4,0.0,31,1.79,78,185.0,21,5,0,13,4,0,28,41,72,72
10,70.0,4,0.7,39,1.89,60,170.0,72.0,2,0.2,51,4.91,78,170.0,29,12,0,15,2,0,34,30,68,71
12,69.0,4,0.1,31,0.55,79,135.0,72.0,2,0.6,50,0.64,50,145.0,12,5,0,10,4,0,37,28,68,72
4,77.0,2,0.3,36,0.52,79,240.0,75.0,4,0.0,0,0.0,42,264.0,28,19,0,10,3,0,39,25,75,74
10,74.0,2,0.0,100,0.95,88,170.0,73.0,2,0.0,11,0.87,0,170.0,1,1,0,0,2,0,33,40,74,73
4,80.0,2,0.9,53,1.39,73,265.0,80.0,2,0.0,60,7.05,25,265.0,45,18,0,12,2,0,38,27,76,76
14,63.0,2,0.8,47,3.34,58,115.0,63.0,0,0.3,36,3.53,48,115.0,17,4,0,16,6,0,30,31,64,61
2,71.0,2,1.0,32,1.63,47,145.0,70.0,2,0.4,53,3.38,100,145.0,19,8,0,13,2,0,36,27,68,68
4,80.0,2,1.0,30,2.02,33,250.0,76.0,2,0.0,0,0.0,62,205.0,5,3,0,9,4,0,39,37,75,71
5,75.0,2,0.0,44,2.98,73,205.0,76.0,2,0.8,26,0.41,51,205.0,24,8,1,32,14,0,39,30,72,76
3,69.0,2,0.4,40,0.85,67,125.0,65.0,4,0.6,31,1.53,65,125.0,18,5,0,28,5,0,25,34,66,64
6,70.0,2,0.7,37,3.32,69,155.0,74.0,2,2.8,42,2.77,58,155.0,35,16,0,28,8,0,37,29,67,70
2,71.0,2,1.0,34,2.73,54,145.0,69.0,2,1.1,50,2.66,53,145.0,12,2,0,21,12,0,27,29,67,70
10,73.0,2,1.3,36,1.21,73,155.0,74.0,4,0.4,31,1.39,70,170.0,36,13,0,18,3,0,35,27,73,74
5,80.0,4,0.6,40,1.34,65,205.0,79.0,2,1.5,25,0.74,52,205.0,24,13,0,7,3,0,35,27,75,75
13,64.0,2,0.5,50,1.0,62,125.0,66.0,2,0.7,45,0.46,59,125.0,9,6,0,15,7,0,31,32,65,66
10,71.0,2,0.0,36,1.24,63,170.0,71.0,2,0.0,50,0.33,0,170.0,17,5,0,6,2,0,30,27,72,71
0,69.0,4,0.0,16,0.5,30,135.0,67.0,5,0.2,53,1.73,87,135.0,11,7,2,14,1,0,27,25,67,67
0,67.0,2,0.7,100,0.97,66,135.0,73.0,2,0.7,47,0.93,41,135.0,15,4,1,18,10,1,21,30,68,68
2,69.0,2,0.0,20,0.3,68,145.0,72.0,2,0.0,25,0.76,64,145.0,9,7,1,13,4,0,28,25,68,68
10,71.0,2,0.0,0,0.0,50,170.0,72.0,2,0.0,100,0.93,0,170.0,15,5,0,4,4,0,28,30,72,71
10,70.0,2,0.0,16,1.83,75,170.0,73.0,2,0.8,38,1.99,66,170.0,10,3,0,15,4,0,33,24,67,71
14,63.0,2,0.0,50,0.25,66,115.0,63.0,2,0.2,100,0.25,28,115.0,11,1,0,13,2,0,29,25,65,61
3,71.0,2,2.5,0,0.0,60,125.0,70.0,2,1.8,40,0.7,58,125.0,11,1,0,14,4,0,21,28,69,68
3,71.0,4,1.2,43,3.03,41,125.0,68.0,2,0.8,66,0.55,51,125.0,21,6,2,7,5,0,29,30,70,65
13,66.0,0,0.0,0,0.0,100,125.0,72.0,2,0.0,0,0.0,40,125.0,4,4,2,9,2,2,31,29,66,67
