weight_class,f1_reach,f1_sapm,f1_slpm,f1_stance,f1_stk_acc,f1_stk_def,f1_td_def,f1_weight,f2_reach,f2_sapm,f2_slpm,f2_stance,f2_stk_acc,f2_stk_def,f2_td_def,f2_weight,f1_wins,f1_losses,f1_draws,f2_wins,f2_losses,f2_draws,f1_age,f2_age,f1_height,f2_height
7,80.0,2.6,4.46,5,50,66,85,185.0,74.0,2.76,3.0,2,40,55,77,185.0,18,0,0,17,7,0,29,31,76,73
6,74.0,2.8,1.93,4,38,40,0,155.0,71.0,2.11,3.02,2,53,63,80,155.0,7,1,0,9,1,0,23,27,72,71
2,64.0,2.98,3.33,2,51,57,47,135.0,67.0,4.73,0.93,2,21,36,71,155.0,9,2,0,9,1,0,27,32,66,67
2,71.0,5.72,7.66,4,39,51,85,145.0,73.0,2.86,3.98,4,48,64,58,145.0,12,3,0,15,12,0,25,30,68,70
13,69.0,5.31,3.3,0,31,54,41,125.0,65.0,4.67,4.04,0,30,66,0,125.0,23,17,0,10,5,0,36,39,67,64
7,75.0,3.33,3.8,2,40,53,52,185.0,74.0,3.22,3.2,2,42,62,83,185.0,7,2,0,12,4,0,28,29,74,72
13,68.0,3.28,2.49,0,31,47,50,125.0,62.0,3.28,2.32,2,43,59,100,125.0,10,5,0,4,5,0,23,27,67,63
6,68.0,2.26,1.98,2,77,65,0,155.0,75.0,2.74,3.7,4,45,52,47,155.0,3,1,1,7,2,0,27,25,69,75
6,72.0,3.72,1.65,2,37,46,0,155.0,70.0,1.8,3.93,2,52,61,57,155.0,7,2,0,13,2,0,33,26,69,67
2,69.0,2.53,3.4,2,47,44,70,145.0,70.0,1.81,1.78,4,50,59,33,145.0,9,2,0,12,1,0,27,24,67,70
2,70.0,5.89,4.65,2,35,56,75,145.0,70.0,4.45,4.36,2,41,58,61,145.0,18,9,0,22,9,0,28,34,70,70
7,76.0,3.04,3.19,4,55,54,41,185.0,77.0,3.25,2.73,4,42,52,46,185.0,11,3,1,29,12,0,28,31,72,73
4,72.0,2.75,4.25,2,52,56,77,235.0,80.0,3.69,4.95,2,52,56,73,240.0,22,2,0,19,3,0,39,36,71,76
4,83.0,1.97,2.15,2,37,48,71,250.0,79.0,2.29,2.63,2,49,44,53,260.0,14,3,0,22,7,0,32,33,76,75
10,71.0,4.5,4.27,2,47,57,70,170.0,70.0,3.17,3.55,2,43,50,59,155.0,13,6,0,17,4,0,27,34,70,71
6,75.0,2.09,2.28,4,41,51,66,170.0,72.0,3.48,2.97,2,46,53,58,170.0,16,4,0,22,9,0,31,31,73,70
5,76.0,2.85,3.01,4,40,47,46,205.0,73.0,4.57,7.09,2,58,53,100,205.0,9,4,0,1,2,0,28,35,73,72
7,79.0,3.57,3.31,2,50,53,69,185.0,72.0,6.84,8.43,0,57,53,80,185.0,16,9,0,13,0,0,34,27,72,73
0,66.0,2.35,3.32,2,41,68,80,135.0,71.0,3.89,5.11,2,41,63,50,135.0,27,7,0,17,4,0,36,31,65,68
6,71.0,4.77,4.41,2,42,54,62,155.0,70.0,3.74,3.98,2,52,54,68,155.0,10,4,2,11,1,1,26,30,69,69
10,76.0,2.95,3.86,2,46,61,57,170.0,76.0,4.11,4.22,2,49,56,63,170.0,17,5,0,15,7,0,31,33,74,71
6,71.0,3.05,3.09,2,43,57,50,155.0,75.0,4.72,4.73,5,44,55,78,155.0,17,3,0,20,8,0,32,28,70,72
14,63.0,2.95,2.84,0,31,55,66,115.0,65.0,4.0,4.51,2,51,65,50,115.0,4,3,0,4,3,0,27,29,65,61
4,73.0,3.93,3.09,4,38,55,75,250.0,77.0,3.09,4.76,2,48,58,80,238.0,18,3,0,21,6,0,32,34,71,76
10,71.0,1.96,3.58,2,52,58,41,170.0,72.0,2.73,2.63,2,36,58,57,170.0,11,2,0,17,7,0,22,32,72,71
2,66.0,3.07,4.42,2,46,59,82,155.0,70.0,4.29,4.31,4,42,53,66,145.0,18,9,0,21,6,1,32,29,66,72
10,76.0,4.46,3.06,2,34,51,61,170.0,78.0,2.42,3.41,2,47,55,71,170.0,14,3,0,12,3,0,29,28,72,75
2,73.0,2.16,2.94,2,42,66,50,145.0,66.0,2.35,2.78,2,49,67,100,145.0,17,4,0,18,5,0,30,33,70,66
11,68.0,1.63,2.57,4,61,47,42,145.0,68.0,2.93,3.46,2,41,65,51,135.0,10,4,0,9,5,1,36,41,66,66
0,69.0,3.51,3.41,2,29,70,86,135.0,67.0,2.94,3.52,2,35,64,73,135.0,24,13,1,22,8,1,34,29,67,66
2,71.0,3.14,6.15,2,57,59,72,145.0,71.0,2.8,3.27,2,36,53,58,145.0,21,1,0,25,8,0,30,34,66,70
3,66.0,2.16,3.56,4,51,55,82,125.0,70.0,1.95,4.69,2,59,64,100,135.0,11,5,0,13,1,0,26,26,67,68
2,67.0,4.85,5.77,2,53,63,75,135.0,70.0,4.28,4.51,2,42,46,45,155.0,14,1,0,17,7,0,31,32,67,71
13,64.0,3.78,4.05,2,38,53,75,125.0,66.0,2.51,2.78,2,54,61,65,125.0,17,6,1,13,7,0,30,34,64,66
3,65.0,4.04,3.05,2,36,53,42,135.0,67.0,5.05,1.59,4,27,50,33,125.0,11,3,0,6,2,0,24,26,66,65
14,64.0,7.37,4.1,2,31,52,83,115.0,63.0,7.19,4.93,2,50,53,50,115.0,6,6,0,20,8,0,32,36,61,63
5,76.0,4.28,3.06,2,47,44,51,205.0,76.0,2.68,3.63,2,50,55,47,205.0,32,14,0,26,11,1,30,37,76,73
5,76.0,3.84,3.41,2,44,54,60,205.0,79.0,2.18,4.45,2,46,59,83,205.0,30,7,0,14,4,0,39,29,74,75
7,76.0,1.27,3.2,2,37,57,25,185.0,77.0,2.95,2.98,2,45,58,50,185.0,14,1,1,13,7,0,32,39,69,73
4,84.0,4.0,3.13,2,47,46,55,265.0,78.0,3.2,3.61,2,51,52,81,249.0,33,12,0,17,6,0,30,33,83,75
10,74.0,3.08,3.41,4,44,55,53,170.0,75.0,4.32,3.38,2,41,56,60,170.0,17,5,0,17,5,0,31,28,73,72
6,73.0,2.41,2.86,2,37,58,64,155.0,72.0,3.2,5.24,4,46,75,78,155.0,14,3,0,11,2,0,25,23,70,70
6,70.0,3.0,3.0,2,46,66,40,155.0,66.0,3.61,2.65,4,35,59,83,155.0,13,5,0,14,5,0,32,34,69,66
10,74.0,2.64,2.24,5,38,32,48,170.0,75.0,1.35,2.22,2,70,53,80,170.0,9,4,1,14,3,0,30,32,71,72
2,70.0,2.8,3.8,2,43,60,75,145.0,69.0,2.29,2.64,2,50,45,63,135.0,12,3,0,14,2,0,31,26,68,65
5,80.0,4.46,3.45,2,41,48,40,205.0,78.0,1.63,5.25,2,52,50,88,205.0,9,2,0,12,1,0,30,26,76,76
0,71.0,2.68,2.92,2,61,46,0,145.0,69.0,1.68,3.13,0,52,65,64,135.0,14,2,0,11,4,0,24,33,70,68
5,72.0,3.84,2.81,5,46,49,50,205.0,76.0,2.83,2.86,2,46,59,83,205.0,15,8,0,13,3,0,27,26,72,72
0,72.0,3.55,2.6,2,31,54,55,135.0,70.0,3.1,1.86,2,36,52,43,135.0,13,6,0,10,6,0,25,28,66,65
6,69.0,4.39,4.32,2,41,55,92,155.0,72.0,3.97,5.51,4,49,56,61,155.0,29,6,0,25,6,0,34,29,69,69
2,70.0,3.18,3.47,2,44,65,91,135.0,71.0,2.98,3.09,2,40,58,65,145.0,28,6,0,28,17,0,32,32,67,69
14,60.0,3.46,4.04,2,47,62,52,115.0,65.0,2.73,6.18,2,47,65,81,125.0,10,5,0,16,3,0,29,31,61,66
6,72.0,3.25,3.07,2,41,50,57,155.0,70.0,2.97,2.48,4,51,55,70,155.0,11,2,0,12,5,0,26,29,69,69
10,72.0,3.02,4.42,2,39,61,31,170.0,73.0,2.55,3.35,2,44,69,66,170.0,17,5,0,31,12,0,28,29,71,72
2,73.0,2.31,5.28,2,46,64,85,145.0,72.0,6.38,4.52,2,41,62,57,145.0,11,1,1,16,6,0,27,27,68,72
6,75.0,1.59,2.47,2,42,64,62,155.0,70.0,0.76,2.1,2,56,72,93,155.0,23,14,1,18,1,0,34,27,71,70
5,75.0,3.16,5.27,4,39,49,80,205.0,70.0,5.92,2.32,2,51,21,0,205.0,15,4,0,20,6,0,25,31,73,71
6,69.0,4.09,3.68,2,40,62,75,155.0,68.0,3.77,5.43,2,50,70,87,155.0,22,16,0,17,6,0,34,33,68,68
13,68.0,4.58,4.35,2,32,64,56,125.0,68.0,4.18,4.27,2,46,55,32,125.0,13,2,0,19,10,0,30,34,69,66
3,66.0,2.43,3.83,0,51,70,100,125.0,65.0,2.17,2.94,2,44,56,52,125.0,13,3,1,19,8,0,25,30,66,65
14,64.0,3.55,4.81,2,47,54,77,115.0,63.0,3.11,3.01,2,41,61,57,115.0,10,6,0,10,8,1,33,33,65,64
6,74.0,3.4,1.89,0,38,55,33,155.0,73.0,3.67,2.88,2,41,51,0,155.0,9,6,0,9,4,0,28,30,72,72
0,67.0,3.03,5.37,2,41,65,86,125.0,65.0,3.53,3.53,2,37,64,100,135.0,17,4,0,11,3,0,32,27,66,68
3,66.0,1.66,3.43,2,54,67,65,125.0,64.0,2.73,3.82,2,44,65,90,135.0,27,3,1,15,2,0,32,31,63,64
2,72.0,3.69,5.53,2,46,66,76,145.0,70.0,3.65,4.59,2,49,61,60,145.0,13,3,1,26,11,0,29,35,71,68
14,67.0,3.26,3.89,2,41,54,50,115.0,67.0,4.11,3.88,4,40,61,53,125.0,10,4,0,8,3,0,26,26,65,65
7,76.0,2.19,4.44,2,47,57,68,205.0,81.0,2.58,4.16,2,54,55,48,185.0,21,7,0,16,5,0,34,26,74,75
0,71.0,4.74,3.41,2,45,55,78,135.0,65.0,6.17,5.29,2,42,57,81,135.0,15,2,0,18,4,0,26,32,67,66
0,69.0,3.79,2.96,2,40,65,71,135.0,75.0,1.87,3.87,4,49,56,65,135.0,15,3,0,8,1,0,26,26,66,70
0,73.0,2.55,2.7,2,44,59,71,135.0,72.0,3.16,3.05,2,39,59,75,135.0,16,8,0,14,2,0,31,23,69,69
2,72.0,3.64,3.0,2,42,63,53,145.0,68.0,3.13,5.44,2,42,61,81,145.0,11,4,0,8,3,0,28,24,68,67
3,65.0,9.84,4.37,2,36,50,75,125.0,65.0,3.11,4.68,2,48,61,87,135.0,8,1,0,22,5,0,26,26,64,66
14,63.0,2.24,6.22,5,49,63,100,115.0,60.0,3.31,2.75,2,29,71,70,115.0,20,1,0,9,4,0,29,29,64,60
0,69.0,2.96,1.63,2,42,56,71,135.0,70.0,3.82,3.43,5,47,53,68,135.0,10,7,0,15,5,1,29,26,69,68
6,70.0,9.67,8.57,2,55,54,80,155.0,76.0,3.31,4.13,2,39,60,57,155.0,21,2,0,13,5,0,30,31,71,75
2,74.0,3.86,4.08,2,37,53,69,145.0,73.0,3.92,4.22,4,37,58,78,155.0,20,6,0,20,15,0,28,32,71,70
14,67.0,4.73,4.8,2,38,53,38,115.0,64.0,5.3,5.88,2,50,65,73,115.0,8,7,0,10,7,0,31,33,67,63
10,71.0,2.83,2.47,2,39,60,86,170.0,72.0,5.0,5.65,4,48,44,47,170.0,31,15,0,14,7,0,33,29,69,72
3,68.0,2.4,2.44,2,52,53,59,125.0,66.0,2.55,2.57,2,43,56,44,125.0,17,1,0,19,7,0,31,34,65,66
7,76.0,3.55,3.07,2,38,48,100,185.0,75.0,4.15,3.06,4,45,52,76,205.0,15,5,0,13,4,0,32,31,74,73
10,73.0,4.02,4.83,2,48,61,50,170.0,72.0,3.69,3.01,2,46,50,75,170.0,26,8,0,14,4,0,32,27,74,71
0,71.0,2.79,2.72,4,45,49,60,135.0,70.0,4.16,7.14,5,48,58,27,135.0,35,10,0,12,1,0,38,26,69,71
7,74.0,4.92,4.49,2,43,50,100,185.0,73.0,3.96,2.75,2,48,52,80,185.0,12,5,0,11,3,0,30,30,73,73
10,73.0,2.42,3.53,2,39,57,38,170.0,74.0,3.22,2.22,5,43,43,44,170.0,17,7,0,6,2,0,37,26,72,74
13,65.0,4.31,6.19,2,47,53,55,125.0,67.0,1.44,2.23,5,56,45,20,125.0,14,4,0,18,8,1,33,32,66,67
6,73.0,3.74,3.0,2,40,60,50,155.0,70.0,4.14,4.44,4,39,53,62,155.0,10,5,0,21,9,0,34,30,71,68
0,67.0,1.61,1.59,2,36,52,22,135.0,67.0,4.05,6.0,4,51,54,70,135.0,26,10,0,13,3,0,34,33,66,66
8,77.0,0.0,0.0,2,0,0,0,216.0,73.0,1.13,0.88,4,41,37,66,175.0,2,2,0,14,2,3,34,27,77,73
8,71.0,0.0,0.0,4,0,0,0,190.0,74.0,0.0,0.0,0,0,0,0,185.0,33,21,1,0,4,0,24,0,71,74
8,72.0,4.3,1.47,2,46,39,44,205.0,73.0,1.13,0.88,4,41,37,66,175.0,28,16,2,14,2,3,29,27,73,73
8,77.0,0.0,0.0,2,0,0,0,216.0,76.0,0.0,0.0,2,0,0,0,275.0,2,2,0,2,6,0,34,0,77,76
8,74.0,0.0,0.0,2,0,0,0,225.0,72.0,4.3,1.47,2,46,39,44,205.0,20,15,0,28,16,2,30,29,74,73
