weight_class,f1_reach,f1_sapm,f1_slpm,f1_stance,f1_sub_avg,f1_td_avg,f1_weight,f2_reach,f2_sapm,f2_slpm,f2_stance,f2_sub_avg,f2_td_avg,f2_weight,f1_wins,f1_losses,f1_draws,f2_wins,f2_losses,f2_draws,f1_age,f2_age,f1_height,f2_height,stk_acc_diff,stk_def_diff,td_acc_diff,td_def_diff
2,69.0,2.71,1.28,2,0.4,3.45,145.0,70.0,1.78,3.01,4,0.5,1.6,145.0,9,3,0,15,1,0,24,24,68,68,2,-15,-9,-48
2,72.0,2.77,1.6,4,1.5,3.39,145.0,71.0,3.02,2.95,2,1.7,1.31,145.0,15,4,0,20,6,0,30,26,70,70,14,-1,3,10
10,74.0,2.62,3.66,2,0.0,1.94,170.0,71.0,2.17,2.8,4,2.1,3.32,170.0,15,7,0,14,1,0,37,36,73,71,0,21,43,23
7,74.0,2.44,2.94,2,0.0,1.38,185.0,73.0,5.72,3.71,2,1.0,1.31,185.0,11,4,0,12,6,0,28,32,72,73,-1,-1,24,-10
7,70.0,4.64,3.62,4,0.3,1.86,185.0,73.0,2.57,3.85,4,0.3,0.0,185.0,13,4,0,11,1,0,41,27,72,75,-11,-4,34,6
11,65.0,3.9,3.21,2,0.2,0.83,135.0,68.0,2.84,2.72,4,0.0,3.18,135.0,10,4,0,5,3,0,36,30,67,66,8,-5,-44,32
10,76.0,4.31,3.52,0,0.7,0.32,170.0,75.0,4.12,4.17,4,0.0,2.91,170.0,12,6,0,11,3,0,29,25,73,71,4,-4,-29,63
13,63.0,2.75,2.18,0,1.3,3.44,125.0,62.0,4.95,6.49,2,0.9,2.59,125.0,7,4,0,10,2,0,23,28,65,64,1,-14,14,-40
7,75.0,3.31,3.29,2,0.7,1.7,185.0,75.0,2.39,4.19,2,0.0,1.27,185.0,15,10,0,17,3,0,37,30,75,73,13,-2,4,1
0,67.0,3.69,3.53,2,0.5,0.46,135.0,68.0,3.88,4.1,2,0.0,0.7,135.0,23,6,1,22,4,0,30,29,66,64,-1,-3,2,-29
6,72.0,2.55,3.29,2,0.4,4.0,155.0,71.0,2.14,3.58,2,0.9,7.02,155.0,12,2,0,13,1,0,36,32,70,67,-4,-4,13,22
4,77.0,2.68,2.96,4,0.2,0.35,250.0,82.0,5.3,2.6,2,0.0,0.74,245.0,13,7,0,6,3,0,35,28,77,79,3,15,-33,76
10,71.0,2.83,2.47,2,0.4,2.04,170.0,77.0,3.58,3.23,2,1.3,0.2,170.0,31,15,0,22,13,2,33,35,69,74,-11,9,7,20
2,70.0,2.87,4.25,4,0.6,0.58,145.0,69.0,3.93,3.08,2,0.3,0.56,145.0,16,4,0,7,4,0,29,30,67,65,-10,11,12,33
5,76.0,5.34,4.26,2,0.0,0.53,205.0,75.0,3.2,3.05,4,0.1,0.09,205.0,17,11,0,33,13,0,33,32,75,74,-2,0,7,1
13,67.0,3.42,4.77,0,0.0,2.0,135.0,67.0,3.59,3.53,2,0.0,0.89,125.0,5,4,0,11,4,0,33,35,64,65,1,-3,16,1
6,68.0,3.09,3.47,2,1.3,3.59,155.0,73.0,3.53,4.69,4,0.0,0.94,155.0,30,10,2,8,2,0,34,29,68,69,7,-6,1,-33
10,72.0,3.81,4.37,2,0.2,2.15,170.0,75.0,3.62,1.1,4,0.3,1.35,170.0,16,3,0,14,4,0,30,32,71,74,21,11,5,67
6,71.0,2.51,1.95,4,0.8,4.08,155.0,73.0,2.51,3.7,4,0.0,1.62,155.0,40,14,0,23,8,0,35,29,70,70,-15,-6,3,17
0,69.0,2.94,4.24,2,2.0,2.05,135.0,71.0,3.34,2.89,2,0.5,0.0,135.0,16,3,0,28,12,0,25,40,66,67,4,-5,66,18
3,62.0,1.66,2.12,5,0.6,4.54,125.0,65.0,9.84,4.37,2,0.0,1.28,125.0,14,2,0,8,1,0,25,26,63,64,10,12,24,-6
7,73.0,3.7,4.77,2,0.0,0.36,185.0,73.0,3.21,3.71,4,0.0,1.79,185.0,21,5,0,13,4,0,28,41,72,72,-10,1,26,6
10,70.0,3.28,3.57,4,0.7,1.89,170.0,72.0,3.02,4.17,2,0.2,4.91,170.0,29,12,0,15,2,0,34,30,68,71,8,7,-12,-18
12,69.0,2.83,2.82,4,0.1,0.55,135.0,72.0,3.17,1.8,2,0.6,0.64,145.0,12,5,0,10,4,0,37,28,68,72,-12,23,-19,29
4,77.0,2.69,3.55,2,0.3,0.52,240.0,75.0,3.54,4.09,4,0.0,0.0,264.0,28,19,0,10,3,0,39,25,75,74,-4,8,36,37
10,74.0,1.33,4.25,2,0.0,0.95,170.0,73.0,4.87,1.1,2,0.0,0.87,170.0,1,1,0,0,2,0,33,40,74,73,35,35,89,88
4,80.0,2.15,3.54,2,0.9,1.39,265.0,80.0,1.9,3.69,2,0.0,7.05,265.0,45,18,0,12,2,0,38,27,76,76,11,4,-7,48
14,63.0,4.38,3.17,2,0.8,3.34,115.0,63.0,2.86,2.22,0,0.3,3.53,115.0,17,4,0,16,6,0,30,31,64,61,2,5,11,10
2,71.0,2.66,2.88,2,1.0,1.63,145.0,70.0,1.7,2.88,2,0.4,3.38,145.0,19,8,0,13,2,0,36,27,68,68,3,-1,-21,-53
4,80.0,6.37,4.08,2,1.0,2.02,250.0,76.0,6.68,4.82,2,0.0,0.0,205.0,5,3,0,9,4,0,39,37,75,71,-11,-7,30,-29
5,75.0,2.42,2.14,2,0.0,2.98,205.0,76.0,4.28,3.06,2,0.8,0.41,205.0,24,8,1,32,14,0,39,30,72,76,-10,19,18,22
3,69.0,2.91,3.88,2,0.4,0.85,125.0,65.0,2.52,3.46,4,0.6,1.53,125.0,18,5,0,28,5,0,25,34,66,64,4,2,9,2
6,70.0,2.46,2.45,2,0.7,3.32,155.0,74.0,3.03,3.21,2,2.8,2.77,155.0,35,16,0,28,8,0,37,29,67,70,-17,11,-5,11
2,71.0,3.07,4.15,2,1.0,2.73,145.0,69.0,3.58,3.44,2,1.1,2.66,145.0,12,2,0,21,12,0,27,29,67,70,0,25,-16,1
10,73.0,4.23,4.34,2,1.3,1.21,155.0,74.0,2.05,2.53,4,0.4,1.39,170.0,36,13,0,18,3,0,35,27,73,74,-1,-2,5,3
5,80.0,2.86,2.59,4,0.6,1.34,205.0,79.0,2.55,2.7,2,1.5,0.74,205.0,24,13,0,7,3,0,35,27,75,75,-16,-4,15,13
13,64.0,4.73,4.53,2,0.5,1.0,125.0,66.0,3.39,3.79,2,0.7,0.46,125.0,9,6,0,15,7,0,31,32,65,66,9,1,5,3
10,71.0,3.55,4.9,2,0.0,1.24,170.0,71.0,4.49,3.8,2,0.0,0.33,170.0,17,5,0,6,2,0,30,27,72,71,10,5,-14,63
