weight_class,f1_reach,f1_sapm,f1_slpm,f1_stance,f1_stk_acc,f1_stk_def,f1_sub_avg,f1_td_acc,f1_td_avg,f1_td_def,f1_weight,f2_reach,f2_sapm,f2_slpm,f2_stance,f2_stk_acc,f2_stk_def,f2_sub_avg,f2_td_acc,f2_td_avg,f2_td_def,f2_weight,f1_wins,f1_losses,f1_draws,f2_wins,f2_losses,f2_draws,f1_age,f2_age,f1_height,f2_height,f1_win_rate,f2_win_rate
0,69.0,2.94,4.24,2,42,58,2.0,66,2.05,80,135.0,71.0,3.34,2.89,2,38,63,0.5,0,0.0,62,135.0,16,3,0,28,12,0,25,40,66,67,0.8421052631578947,0.7
3,62.0,1.66,2.12,5,46,62,0.6,57,4.54,69,125.0,65.0,9.84,4.37,2,36,50,0.0,33,1.28,75,125.0,14,2,0,8,1,0,25,26,63,64,0.875,0.8888888888888888
7,73.0,3.7,4.77,2,39,61,0.0,57,0.36,84,185.0,73.0,3.21,3.71,4,49,60,0.0,31,1.79,78,185.0,21,5,0,13,4,0,28,41,72,72,0.8076923076923077,0.7647058823529411
10,70.0,3.28,3.57,4,45,62,0.7,39,1.89,60,170.0,72.0,3.02,4.17,2,37,55,0.2,51,4.91,78,170.0,29,12,0,15,2,0,34,30,68,71,0.7073170731707317,0.8823529411764706
12,69.0,2.83,2.82,4,34,57,0.1,31,0.55,79,135.0,72.0,3.17,1.8,2,46,34,0.6,50,0.64,50,145.0,12,5,0,10,4,0,37,28,68,72,0.7058823529411765,0.7142857142857143
4,77.0,2.69,3.55,2,44,59,0.3,36,0.52,79,240.0,75.0,3.54,4.09,4,48,51,0.0,0,0.0,42,264.0,28,19,0,10,3,0,39,25,75,74,0.5957446808510638,0.7692307692307693
10,74.0,1.33,4.25,2,58,75,0.0,100,0.95,88,170.0,73.0,4.87,1.1,2,23,40,0.0,11,0.87,0,170.0,1,1,0,0,2,0,33,40,74,73,0.5,0.0
4,80.0,2.15,3.54,2,62,59,0.9,53,1.39,73,265.0,80.0,1.9,3.69,2,51,55,0.0,60,7.05,25,265.0,45,18,0,12,2,0,38,27,76,76,0.7142857142857143,0.8571428571428571
14,63.0,4.38,3.17,2,42,58,0.8,47,3.34,58,115.0,63.0,2.86,2.22,0,40,53,0.3,36,3.53,48,115.0,17,4,0,16,6,0,30,31,64,61,0.8095238095238095,0.7272727272727273
2,71.0,2.66,2.88,2,45,59,1.0,32,1.63,47,145.0,70.0,1.7,2.88,2,42,60,0.4,53,3.38,100,145.0,19,8,0,13,2,0,36,27,68,68,0.7037037037037037,0.8666666666666667
4,80.0,6.37,4.08,2,45,43,1.0,30,2.02,33,250.0,76.0,6.68,4.82,2,56,50,0.0,0,0.0,62,205.0,5,3,0,9,4,0,39,37,75,71,0.625,0.6923076923076923
5,75.0,2.42,2.14,2,37,63,0.0,44,2.98,73,205.0,76.0,4.28,3.06,2,47,44,0.8,26,0.41,51,205.0,24,8,1,32,14,0,39,30,72,76,0.7272727272727273,0.6956521739130435
