f1_reach,f1_sapm,f1_slpm,f1_stance,f1_stk_acc,f1_stk_def,f1_sub_avg,f1_td_acc,f1_td_avg,f1_td_def,f2_reach,f2_sapm,f2_slpm,f2_stance,f2_stk_acc,f2_stk_def,f2_sub_avg,f2_td_acc,f2_td_avg,f2_td_def,f1_wins,f1_losses,f2_wins,f2_losses,f1_age,f2_age
76.0,5.34,4.26,2,42,55,0.0,23,0.53,83,75.0,3.2,3.05,4,44,55,0.1,16,0.09,82,17,11,33,13,33,32
67.0,3.42,4.77,0,39,58,0.0,44,2.0,63,67.0,3.59,3.53,2,38,61,0.0,28,0.89,62,5,4,11,4,33,35
68.0,3.09,3.47,2,50,49,1.3,34,3.59,44,73.0,3.53,4.69,4,43,55,0.0,33,0.94,77,30,10,8,2,34,29
72.0,3.81,4.37,2,41,60,0.2,31,2.15,83,75.0,3.62,1.1,4,20,49,0.3,26,1.35,16,16,3,14,4,30,32
71.0,2.51,1.95,4,31,63,0.8,53,4.08,92,73.0,2.51,3.7,4,46,69,0.0,50,1.62,75,40,14,23,8,35,29
69.0,2.94,4.24,2,42,58,2.0,66,2.05,80,71.0,3.34,2.89,2,38,63,0.5,0,0.0,62,16,3,28,12,25,40
62.0,1.66,2.12,5,46,62,0.6,57,4.54,69,65.0,9.84,4.37,2,36,50,0.0,33,1.28,75,14,2,8,1,25,26
73.0,3.7,4.77,2,39,61,0.0,57,0.36,84,73.0,3.21,3.71,4,49,60,0.0,31,1.79,78,21,5,13,4,28,41
70.0,3.28,3.57,4,45,62,0.7,39,1.89,60,72.0,3.02,4.17,2,37,55,0.2,51,4.91,78,29,12,15,2,34,30
69.0,2.83,2.82,4,34,57,0.1,31,0.55,79,72.0,3.17,1.8,2,46,34,0.6,50,0.64,50,12,5,10,4,37,28
77.0,2.69,3.55,2,44,59,0.3,36,0.52,79,75.0,3.54,4.09,4,48,51,0.0,0,0.0,42,28,19,10,3,39,25
74.0,1.33,4.25,2,58,75,0.0,100,0.95,88,73.0,4.87,1.1,2,23,40,0.0,11,0.87,0,1,1,0,2,33,40
80.0,2.15,3.54,2,62,59,0.9,53,1.39,73,80.0,1.9,3.69,2,51,55,0.0,60,7.05,25,45,18,12,2,38,27
63.0,4.38,3.17,2,42,58,0.8,47,3.34,58,63.0,2.86,2.22,0,40,53,0.3,36,3.53,48,17,4,16,6,30,31
71.0,2.66,2.88,2,45,59,1.0,32,1.63,47,70.0,1.7,2.88,2,42,60,0.4,53,3.38,100,19,8,13,2,36,27
80.0,6.37,4.08,2,45,43,1.0,30,2.02,33,76.0,6.68,4.82,2,56,50,0.0,0,0.0,62,5,3,9,4,39,37
75.0,2.42,2.14,2,37,63,0.0,44,2.98,73,76.0,4.28,3.06,2,47,44,0.8,26,0.41,51,24,8,32,14,39,30
69.0,2.91,3.88,2,37,65,0.4,40,0.85,67,65.0,2.52,3.46,4,33,63,0.6,31,1.53,65,18,5,28,5,25,34
70.0,2.46,2.45,2,33,65,0.7,37,3.32,69,74.0,3.03,3.21,2,50,54,2.8,42,2.77,58,35,16,28,8,37,29
71.0,3.07,4.15,2,49,61,1.0,34,2.73,54,69.0,3.58,3.44,2,49,36,1.1,50,2.66,53,12,2,21,12,27,29
73.0,4.23,4.34,2,46,53,1.3,36,1.21,73,74.0,2.05,2.53,4,47,55,0.4,31,1.39,70,36,13,18,3,35,27
80.0,2.86,2.59,4,46,44,0.6,40,1.34,65,79.0,2.55,2.7,2,62,48,1.5,25,0.74,52,24,13,7,3,35,27
64.0,4.73,4.53,2,47,60,0.5,50,1.0,62,66.0,3.39,3.79,2,38,59,0.7,45,0.46,59,9,6,15,7,31,32
71.0,3.55,4.9,2,43,61,0.0,36,1.24,63,71.0,4.49,3.8,2,33,56,0.0,50,0.33,0,17,5,6,2,30,27
69.0,3.63,3.26,4,44,53,0.0,16,0.5,30,67.0,3.15,5.65,5,46,67,0.2,53,1.73,87,11,7,14,1,27,25
67.0,2.74,3.54,2,38,62,0.7,100,0.97,66,73.0,2.66,2.37,2,45,64,0.7,47,0.93,41,15,4,18,10,21,30
69.0,4.47,3.04,2,37,52,0.0,20,0.3,68,72.0,5.09,6.1,2,40,57,0.0,25,0.76,64,9,7,13,4,28,25
71.0,4.28,4.13,2,45,56,0.0,0,0.0,50,72.0,5.08,3.59,2,38,59,0.0,100,0.93,0,15,5,4,4,28,30
70.0,3.75,3.23,2,58,45,0.0,16,1.83,75,73.0,2.02,3.07,2,46,63,0.8,38,1.99,66,10,3,15,4,33,24
63.0,4.22,6.85,2,40,64,0.0,50,0.25,66,63.0,4.48,2.7,2,30,58,0.2,100,0.25,28,11,1,13,2,29,25
71.0,3.37,3.67,2,35,60,2.5,0,0.0,60,70.0,3.69,3.64,2,34,62,1.8,40,0.7,58,11,1,14,4,21,28
71.0,2.5,2.16,4,41,50,1.2,43,3.03,41,68.0,3.53,1.44,2,42,53,0.8,66,0.55,51,21,6,7,5,29,30
66.0,4.0,4.03,0,41,62,0.0,0,0.0,100,72.0,4.74,4.49,2,33,59,0.0,0,0.0,40,4,4,9,2,31,29
80.0,2.6,4.46,5,50,66,0.4,0,0.0,85,74.0,2.76,3.0,2,40,55,0.0,27,1.03,77,18,0,17,7,29,31
74.0,2.8,1.93,4,38,40,0.0,16,1.0,0,71.0,2.11,3.02,2,53,63,0.8,50,0.4,80,7,1,9,1,23,27
64.0,2.98,3.33,2,51,57,0.0,22,1.25,47,67.0,4.73,0.93,2,21,36,0.0,0,0.0,71,9,2,9,1,27,32
71.0,5.72,7.66,4,39,51,0.0,35,2.6,85,73.0,2.86,3.98,4,48,64,0.8,75,0.53,58,12,3,15,12,25,30
69.0,5.31,3.3,0,31,54,0.1,20,1.51,41,65.0,4.67,4.04,0,30,66,1.3,0,0.0,0,23,17,10,5,36,39
75.0,3.33,3.8,2,40,53,3.0,0,0.0,52,74.0,3.22,3.2,2,42,62,0.0,50,1.95,83,7,2,12,4,28,29
68.0,3.28,2.49,0,31,47,2.3,33,2.69,50,62.0,3.28,2.32,2,43,59,1.3,100,3.28,100,10,5,4,5,23,27
68.0,2.26,1.98,2,77,65,0.0,66,8.49,0,75.0,2.74,3.7,4,45,52,1.0,31,1.25,47,3,1,7,2,27,25
72.0,3.72,1.65,2,37,46,0.0,42,7.08,0,70.0,1.8,3.93,2,52,61,1.0,0,0.0,57,7,2,13,2,33,26
69.0,2.53,3.4,2,47,44,0.0,75,3.0,70,70.0,1.81,1.78,4,50,59,1.8,28,1.75,33,9,2,12,1,27,24
70.0,5.89,4.65,2,35,56,0.4,28,2.02,75,70.0,4.45,4.36,2,41,58,0.3,28,0.64,61,18,9,22,9,28,34
76.0,3.04,3.19,4,55,54,1.9,50,0.76,41,77.0,3.25,2.73,4,42,52,1.8,41,2.56,46,11,3,29,12,28,31
72.0,2.75,4.25,2,52,56,0.5,44,1.95,77,80.0,3.69,4.95,2,52,56,0.0,37,2.2,73,22,2,19,3,39,36
83.0,1.97,2.15,2,37,48,0.5,0,0.0,71,79.0,2.29,2.63,2,49,44,0.0,25,0.52,53,14,3,22,7,32,33
71.0,4.5,4.27,2,47,57,0.0,41,0.61,70,70.0,3.17,3.55,2,43,50,0.3,27,0.29,59,13,6,17,4,27,34
75.0,2.09,2.28,4,41,51,1.2,48,3.55,66,72.0,3.48,2.97,2,46,53,1.2,54,0.69,58,16,4,22,9,31,31
76.0,2.85,3.01,4,40,47,0.2,0,0.0,46,73.0,4.57,7.09,2,58,53,0.0,0,0.0,100,9,4,1,2,28,35
