weight_class,f1_reach,f1_stance,f1_weight,f2_reach,f2_stance,f2_weight,f1_wins,f1_losses,f1_draws,f2_wins,f2_losses,f2_draws,f1_age,f2_age,f1_height,f2_height,slpm_diff,sapm_diff,stk_atk_diff,stk_def_diff,stk_acc_diff,td_acc_diff,td_def_diff
10,76.0,0,170.0,75.0,4,170.0,12,6,0,11,3,0,29,25,73,71,-0.6499999999999999,0.1899999999999995,4,-4,4,-29,63
13,63.0,0,125.0,62.0,2,125.0,7,4,0,10,2,0,23,28,65,64,-4.3100000000000005,-2.2,1,-14,1,14,-40
7,75.0,2,185.0,75.0,2,185.0,15,10,0,17,3,0,37,30,75,73,-0.9000000000000004,0.9199999999999999,13,-2,13,4,1
0,67.0,2,135.0,68.0,2,135.0,23,6,1,22,4,0,30,29,66,64,-0.5699999999999998,-0.18999999999999995,-1,-3,-1,2,-29
6,72.0,2,155.0,71.0,2,155.0,12,2,0,13,1,0,36,32,70,67,-0.29000000000000004,0.4099999999999997,-4,-4,-4,13,22
4,77.0,4,250.0,82.0,2,245.0,13,7,0,6,3,0,35,28,77,79,0.3599999999999999,-2.6199999999999997,3,15,3,-33,76
10,71.0,2,170.0,77.0,2,170.0,31,15,0,22,13,2,33,35,69,74,-0.7599999999999998,-0.75,-11,9,-11,7,20
2,70.0,4,145.0,69.0,2,145.0,16,4,0,7,4,0,29,30,67,65,1.17,-1.06,-10,11,-10,12,33
5,76.0,2,205.0,75.0,4,205.0,17,11,0,33,13,0,33,32,75,74,1.21,2.1399999999999997,-2,0,-2,7,1
13,67.0,0,135.0,67.0,2,125.0,5,4,0,11,4,0,33,35,64,65,1.2399999999999998,-0.16999999999999993,1,-3,1,16,1
6,68.0,2,155.0,73.0,4,155.0,30,10,2,8,2,0,34,29,68,69,-1.2200000000000002,-0.43999999999999995,7,-6,7,1,-33
10,72.0,2,170.0,75.0,4,170.0,16,3,0,14,4,0,30,32,71,74,3.27,0.18999999999999995,21,11,21,5,67
6,71.0,4,155.0,73.0,4,155.0,40,14,0,23,8,0,35,29,70,70,-1.7500000000000002,0.0,-15,-6,-15,3,17
0,69.0,2,135.0,71.0,2,135.0,16,3,0,28,12,0,25,40,66,67,1.35,-0.3999999999999999,4,-5,4,66,18
3,62.0,5,125.0,65.0,2,125.0,14,2,0,8,1,0,25,26,63,64,-2.25,-8.18,10,12,10,24,-6
7,73.0,2,185.0,73.0,4,185.0,21,5,0,13,4,0,28,41,72,72,1.0599999999999996,0.4900000000000002,-10,1,-10,26,6
10,70.0,4,170.0,72.0,2,170.0,29,12,0,15,2,0,34,30,68,71,-0.6000000000000001,0.2599999999999998,8,7,8,-12,-18
12,69.0,4,135.0,72.0,2,145.0,12,5,0,10,4,0,37,28,68,72,1.0199999999999998,-0.33999999999999986,-12,23,-12,-19,29
4,77.0,2,240.0,75.0,4,264.0,28,19,0,10,3,0,39,25,75,74,-0.54,-0.8500000000000001,-4,8,-4,36,37
10,74.0,2,170.0,73.0,2,170.0,1,1,0,0,2,0,33,40,74,73,3.15,-3.54,35,35,35,89,88
4,80.0,2,265.0,80.0,2,265.0,45,18,0,12,2,0,38,27,76,76,-0.1499999999999999,0.25,11,4,11,-7,48
14,63.0,2,115.0,63.0,0,115.0,17,4,0,16,6,0,30,31,64,61,0.9499999999999997,1.52,2,5,2,11,10
