weight_class,f1_reach,f1_sapm,f1_slpm,f1_stance,f1_stk_acc,f1_stk_def,f1_sub_avg,f1_td_acc,f1_td_avg,f1_td_def,f1_weight,f2_reach,f2_sapm,f2_slpm,f2_stance,f2_stk_acc,f2_stk_def,f2_sub_avg,f2_td_acc,f2_td_avg,f2_td_def,f2_weight,f1_wins,f1_losses,f1_draws,f2_wins,f2_losses,f2_draws,f1_age,f2_age,f1_height,f2_height,win_rate_diff
2,71.0,4.79,2.22,4,41,41,0.5,46,2.9,62,145.0,71.0,2.93,4.32,4,41,71,1.5,100,0.21,56,145.0,14,7,0,21,8,0,24,30,71,68,-0.05747126436781613
2,70.0,3.13,3.93,0,39,69,0.2,45,4.56,68,145.0,72.0,4.33,4.65,2,35,60,0.1,45,0.71,56,135.0,17,5,1,10,8,0,29,28,67,70,0.18357487922705307
0,69.0,4.68,3.47,0,42,53,0.6,0,0.0,52,135.0,66.0,3.15,3.97,2,46,54,0.1,32,1.77,62,135.0,19,8,1,13,6,0,38,38,68,66,-0.005639097744360888
6,72.0,3.73,1.95,4,44,50,1.3,36,3.06,0,155.0,77.0,1.8,5.4,2,50,59,0.0,100,1.0,71,155.0,10,2,0,8,2,0,22,34,71,72,0.033333333333333326
10,75.0,2.73,3.93,2,44,59,0.0,45,0.36,78,170.0,74.0,3.03,2.41,4,46,59,0.0,41,0.66,82,185.0,15,4,1,18,2,1,35,26,72,72,-0.1071428571428571
10,80.0,2.22,3.86,2,46,56,0.3,46,2.62,60,170.0,76.0,3.28,1.23,2,40,39,0.8,0,0.0,50,170.0,21,8,0,14,9,0,31,28,75,74,0.11544227886056968
2,69.0,2.71,1.28,2,41,51,0.4,47,3.45,22,145.0,70.0,1.78,3.01,4,39,66,0.5,56,1.6,70,145.0,9,3,0,15,1,0,24,24,68,68,-0.1875
2,72.0,2.77,1.6,4,47,50,1.5,34,3.39,57,145.0,71.0,3.02,2.95,2,33,51,1.7,31,1.31,47,145.0,15,4,0,20,6,0,30,26,70,70,0.020242914979757054
10,74.0,2.62,3.66,2,51,66,0.0,76,1.94,73,170.0,71.0,2.17,2.8,4,51,45,2.1,33,3.32,50,170.0,15,7,0,14,1,0,37,36,73,71,-0.2515151515151516
7,74.0,2.44,2.94,2,44,54,0.0,44,1.38,65,185.0,73.0,5.72,3.71,2,45,55,1.0,20,1.31,75,185.0,11,4,0,12,6,0,28,32,72,73,0.06666666666666665
7,70.0,4.64,3.62,4,38,61,0.3,34,1.86,78,185.0,73.0,2.57,3.85,4,49,65,0.3,0,0.0,72,185.0,13,4,0,11,1,0,41,27,72,75,-0.1519607843137255
11,65.0,3.9,3.21,2,57,45,0.2,33,0.83,52,135.0,68.0,2.84,2.72,4,49,50,0.0,77,3.18,20,135.0,10,4,0,5,3,0,36,30,67,66,0.0892857142857143
10,76.0,4.31,3.52,0,41,57,0.7,15,0.32,63,170.0,75.0,4.12,4.17,4,37,61,0.0,44,2.91,0,170.0,12,6,0,11,3,0,29,25,73,71,-0.11904761904761907
13,63.0,2.75,2.18,0,50,54,1.3,47,3.44,0,125.0,62.0,4.95,6.49,2,49,68,0.9,33,2.59,40,125.0,7,4,0,10,2,0,23,28,65,64,-0.19696969696969702
7,75.0,3.31,3.29,2,55,51,0.7,32,1.7,60,185.0,75.0,2.39,4.19,2,42,53,0.0,28,1.27,59,185.0,15,10,0,17,3,0,37,30,75,73,-0.25
0,67.0,3.69,3.53,2,39,58,0.5,25,0.46,66,135.0,68.0,3.88,4.1,2,40,61,0.0,23,0.7,95,135.0,23,6,1,22,4,0,30,29,66,64,-0.07948717948717943
6,72.0,2.55,3.29,2,45,56,0.4,60,4.0,22,155.0,71.0,2.14,3.58,2,49,60,0.9,47,7.02,0,155.0,12,2,0,13,1,0,36,32,70,67,-0.07142857142857151
4,77.0,2.68,2.96,4,38,61,0.2,33,0.35,76,250.0,82.0,5.3,2.6,2,35,46,0.0,66,0.74,0,245.0,13,7,0,6,3,0,35,28,77,79,-0.016666666666666607
