reach,sapm,slpm,stance,stk_acc,stk_def,sub_avg,td_acc,td_avg,td_def,weight,wins,losses,draws,age,height
4.0,-0.81,0.0900000000000003,-2.0,4.0,-2.0,0.7,17.0,1.56,17.0,0.0,-4.0,-2.0,0.0,-2.0,0.0
3.0,0.5900000000000003,0.16000000000000014,0.0,-4.0,3.0,-0.09999999999999998,43.0,0.9200000000000002,33.0,0.0,-1.0,-3.0,0.0,-5.0,2.0
-2.0,1.4899999999999998,1.5999999999999999,0.0,1.0,-6.0,1.0,14.0,-0.3700000000000001,-25.0,0.0,-1.0,1.0,0.0,-7.0,0.0
1.0,0.43000000000000016,-3.0,0.0,-8.0,-4.0,0.40000000000000013,-9.0,-0.1299999999999999,-47.0,0.0,8.0,4.0,0.0,7.0,0.0
-1.0,-1.9700000000000002,-0.8500000000000001,2.0,5.0,23.0,0.2,2.0,-0.3500000000000001,30.0,0.0,5.0,3.0,0.0,-5.0,-2.0
8.0,-0.31999999999999984,-2.1,0.0,-22.0,-31.0,-1.1,-26.0,-1.08,-80.0,20.0,-3.0,0.0,0.0,-1.0,3.0
4.0,0.16000000000000014,2.7799999999999994,1.0,9.0,-3.0,-0.8,25.0,0.9499999999999997,39.0,0.0,-12.0,-8.0,0.0,-10.0,-1.0
0.0,2.16,0.4299999999999997,2.0,-24.0,15.0,0.0,-29.0,-6.279999999999999,-37.0,0.0,2.0,3.0,0.0,-3.0,0.0
0.0,-0.5799999999999996,1.31,-1.0,1.0,-9.0,0.4,-17.0,0.21000000000000002,33.0,20.0,-1.0,-4.0,0.0,-5.0,5.0
1.0,0.19000000000000017,-1.4299999999999997,-2.0,-12.0,1.0,0.6000000000000001,10.0,-1.0099999999999998,-11.0,10.0,-1.0,-3.0,0.0,-12.0,2.0
5.0,-0.18999999999999995,3.1199999999999997,-2.0,8.0,29.0,-0.30000000000000004,-54.0,0.95,16.0,0.0,5.0,0.0,-1.0,6.0,2.0
-4.0,-1.75,-0.39999999999999947,0.0,-11.0,14.0,-1.0,4.0,0.2300000000000001,14.0,0.0,-3.0,-3.0,-1.0,5.0,-1.0
-8.0,-0.2599999999999998,-0.03000000000000025,-2.0,15.0,5.0,-0.20000000000000007,8.0,3.3600000000000003,-12.0,-15.0,3.0,-4.0,0.0,3.0,-6.0
3.0,-0.22999999999999998,-1.2800000000000002,0.0,-12.0,7.0,-0.7999999999999999,12.0,1.06,2.0,0.0,-5.0,1.0,1.0,-3.0,2.0
1.0,-4.449999999999999,-1.7500000000000004,0.0,14.0,-3.0,-0.3,100.0,1.27,5.0,0.0,2.0,-1.0,0.0,1.0,4.0
0.0,1.8599999999999999,-2.1,0.0,0.0,-30.0,-1.0,-54.0,2.69,6.0,0.0,-7.0,-1.0,0.0,-6.0,3.0
-2.0,-1.2000000000000002,-0.7200000000000002,-2.0,4.0,9.0,0.1,0.0,3.8499999999999996,12.0,10.0,7.0,-3.0,1.0,1.0,-3.0
3.0,1.5299999999999998,-0.5,-2.0,-4.0,-1.0,0.5,-32.0,-1.77,-10.0,0.0,6.0,2.0,1.0,0.0,2.0
-5.0,1.93,-3.45,2.0,-6.0,-9.0,1.3,-64.0,2.06,-71.0,0.0,2.0,0.0,0.0,-12.0,-1.0
1.0,-0.2999999999999998,1.52,-2.0,-2.0,0.0,0.0,4.0,-0.30000000000000004,-4.0,-15.0,-3.0,2.0,0.0,9.0,0.0
4.0,-1.0599999999999996,2.63,0.0,6.0,17.0,-0.5,46.0,2.62,10.0,0.0,7.0,-1.0,0.0,3.0,1.0
-1.0,0.9299999999999999,-1.7299999999999998,-2.0,2.0,-15.0,-0.09999999999999998,-9.0,1.85,-48.0,0.0,-6.0,2.0,0.0,0.0,0.0
1.0,-0.25,-1.35,2.0,14.0,-1.0,-0.19999999999999996,3.0,2.08,10.0,0.0,-5.0,-2.0,0.0,4.0,0.0
3.0,0.4500000000000002,0.8600000000000003,-2.0,0.0,21.0,-2.1,43.0,-1.38,23.0,0.0,1.0,6.0,0.0,1.0,2.0
1.0,-3.28,-0.77,0.0,-1.0,-1.0,-1.0,24.0,0.06999999999999984,-10.0,0.0,-1.0,-2.0,0.0,-4.0,-1.0
-3.0,2.07,-0.22999999999999998,0.0,-11.0,-4.0,0.0,34.0,1.86,6.0,0.0,2.0,3.0,0.0,14.0,-3.0
-3.0,1.06,0.48999999999999977,-2.0,8.0,-5.0,0.2,-44.0,-2.35,32.0,0.0,5.0,1.0,0.0,6.0,1.0
1.0,0.1899999999999995,-0.6499999999999999,-4.0,4.0,-4.0,0.7,-29.0,-2.5900000000000003,63.0,0.0,1.0,3.0,0.0,4.0,2.0
1.0,-2.2,-4.3100000000000005,-2.0,1.0,-14.0,0.4,14.0,0.8500000000000001,-40.0,0.0,-3.0,2.0,0.0,-5.0,1.0
0.0,0.9199999999999999,-0.9000000000000004,0.0,13.0,-2.0,0.7,4.0,0.42999999999999994,1.0,0.0,-2.0,7.0,0.0,7.0,2.0
-1.0,-0.18999999999999995,-0.5699999999999998,0.0,-1.0,-3.0,0.5,2.0,-0.23999999999999994,-29.0,0.0,1.0,2.0,1.0,1.0,2.0
1.0,0.4099999999999997,-0.29000000000000004,0.0,-4.0,-4.0,-0.5,13.0,-3.0199999999999996,22.0,0.0,-1.0,1.0,0.0,4.0,3.0
-5.0,-2.6199999999999997,0.3599999999999999,2.0,3.0,15.0,0.2,-33.0,-0.39,76.0,5.0,7.0,4.0,0.0,7.0,-2.0
-6.0,-0.75,-0.7599999999999998,0.0,-11.0,9.0,-0.9,7.0,1.84,20.0,0.0,9.0,2.0,-2.0,-2.0,-5.0
1.0,-1.06,1.17,2.0,-10.0,11.0,0.3,12.0,0.019999999999999907,33.0,0.0,9.0,0.0,0.0,-1.0,2.0
1.0,2.1399999999999997,1.21,-2.0,-2.0,0.0,-0.1,7.0,0.44000000000000006,1.0,0.0,-16.0,-2.0,0.0,1.0,1.0
0.0,-0.16999999999999993,1.2399999999999998,-2.0,1.0,-3.0,0.0,16.0,1.1099999999999999,1.0,10.0,-6.0,0.0,0.0,-2.0,-1.0
-5.0,-0.43999999999999995,-1.2200000000000002,-2.0,7.0,-6.0,1.3,1.0,2.65,-33.0,0.0,22.0,8.0,2.0,5.0,-1.0
-3.0,0.18999999999999995,3.27,-2.0,21.0,11.0,-0.09999999999999998,5.0,0.7999999999999998,67.0,0.0,2.0,-1.0,0.0,-2.0,-3.0
-2.0,0.0,-1.7500000000000002,0.0,-15.0,-6.0,0.8,3.0,2.46,17.0,0.0,17.0,6.0,0.0,6.0,0.0
-2.0,-0.3999999999999999,1.35,0.0,4.0,-5.0,1.5,66.0,2.05,18.0,0.0,-12.0,-9.0,0.0,-15.0,-1.0
-3.0,-8.18,-2.25,3.0,10.0,12.0,0.6,24.0,3.26,-6.0,0.0,6.0,1.0,0.0,-1.0,-1.0
0.0,0.4900000000000002,1.0599999999999996,-2.0,-10.0,1.0,0.0,26.0,-1.4300000000000002,6.0,0.0,8.0,1.0,0.0,-13.0,0.0
-2.0,0.2599999999999998,-0.6000000000000001,2.0,8.0,7.0,0.49999999999999994,-12.0,-3.0200000000000005,-18.0,0.0,14.0,10.0,0.0,4.0,-3.0
-3.0,-0.33999999999999986,1.0199999999999998,2.0,-12.0,23.0,-0.5,-19.0,-0.08999999999999997,29.0,-10.0,2.0,1.0,0.0,9.0,-4.0
2.0,-0.8500000000000001,-0.54,-2.0,-4.0,8.0,0.3,36.0,0.52,37.0,-24.0,18.0,16.0,0.0,14.0,1.0
1.0,-3.54,3.15,0.0,35.0,35.0,0.0,89.0,0.07999999999999996,88.0,0.0,1.0,-1.0,0.0,-7.0,1.0
0.0,0.25,-0.1499999999999999,0.0,11.0,4.0,0.9,-7.0,-5.66,48.0,0.0,33.0,16.0,0.0,11.0,0.0
0.0,1.52,0.9499999999999997,2.0,2.0,5.0,0.5,11.0,-0.18999999999999995,10.0,0.0,1.0,-2.0,0.0,-1.0,3.0
1.0,0.9600000000000002,0.0,0.0,3.0,-1.0,0.6,-21.0,-1.75,-53.0,0.0,6.0,6.0,0.0,9.0,0.0
4.0,-0.3099999999999996,-0.7400000000000002,0.0,-11.0,-7.0,1.0,30.0,2.02,-29.0,45.0,-4.0,-1.0,0.0,2.0,4.0
-1.0,-1.8600000000000003,-0.9199999999999999,0.0,-10.0,19.0,-0.8,18.0,2.57,22.0,0.0,-8.0,-6.0,1.0,9.0,-4.0
4.0,0.3900000000000001,0.41999999999999993,-2.0,4.0,2.0,-0.19999999999999996,9.0,-0.68,2.0,0.0,-10.0,0.0,0.0,-9.0,2.0
-4.0,-0.5699999999999998,-0.7599999999999998,0.0,-17.0,11.0,-2.0999999999999996,-5.0,0.5499999999999998,11.0,0.0,7.0,8.0,0.0,8.0,-3.0
2.0,-0.5100000000000002,0.7100000000000004,0.0,0.0,25.0,-0.10000000000000009,-16.0,0.06999999999999984,1.0,0.0,-9.0,-10.0,0.0,-2.0,-3.0
-1.0,2.1800000000000006,1.81,-2.0,-1.0,-2.0,0.9,5.0,-0.17999999999999994,3.0,-15.0,18.0,10.0,0.0,8.0,-1.0
1.0,0.31000000000000005,-0.11000000000000032,2.0,-16.0,-4.0,-0.9,15.0,0.6000000000000001,13.0,0.0,17.0,10.0,0.0,8.0,0.0
-2.0,1.3400000000000003,0.7400000000000002,0.0,9.0,1.0,-0.19999999999999996,5.0,0.54,3.0,0.0,-6.0,-1.0,0.0,-1.0,-1.0
0.0,-0.9400000000000004,1.1000000000000005,0.0,10.0,5.0,0.0,-14.0,0.9099999999999999,63.0,0.0,11.0,3.0,0.0,3.0,1.0
2.0,0.48,-2.3900000000000006,-1.0,-2.0,-14.0,-0.2,-37.0,-1.23,-57.0,0.0,-3.0,6.0,2.0,2.0,0.0
-6.0,0.08000000000000007,1.17,0.0,-7.0,-2.0,0.0,53.0,0.039999999999999925,25.0,0.0,-3.0,-6.0,0.0,-9.0,0.0
-3.0,-0.6200000000000001,-3.0599999999999996,0.0,-3.0,-5.0,0.0,-5.0,-0.46,4.0,0.0,-4.0,3.0,1.0,3.0,0.0
-1.0,-0.7999999999999998,0.54,0.0,7.0,-3.0,0.0,-100.0,-0.93,50.0,0.0,11.0,1.0,0.0,-2.0,1.0
-3.0,1.73,0.16000000000000014,0.0,12.0,-18.0,-0.8,-22.0,-0.15999999999999992,9.0,0.0,-5.0,-1.0,0.0,9.0,-4.0
0.0,-0.2600000000000007,4.1499999999999995,0.0,10.0,6.0,-0.2,-50.0,0.0,38.0,0.0,-2.0,-1.0,0.0,4.0,4.0
1.0,-0.31999999999999984,0.029999999999999805,0.0,1.0,-2.0,0.7,-40.0,-0.7,2.0,0.0,-3.0,-3.0,0.0,-7.0,1.0
3.0,-1.0299999999999998,0.7200000000000002,2.0,-1.0,-3.0,0.3999999999999999,-23.0,2.4799999999999995,-10.0,0.0,14.0,1.0,2.0,-1.0,5.0
-6.0,-0.7400000000000002,-0.45999999999999996,-2.0,8.0,3.0,0.0,0.0,0.0,60.0,0.0,-5.0,2.0,0.0,2.0,-1.0
6.0,-0.1599999999999997,1.46,3.0,10.0,11.0,0.4,-27.0,-1.03,8.0,0.0,1.0,-7.0,0.0,-2.0,3.0
3.0,0.69,-1.09,2.0,-15.0,-23.0,-0.8,-34.0,0.6,-80.0,0.0,-2.0,0.0,0.0,-4.0,1.0
-3.0,-1.7500000000000004,2.4,0.0,30.0,21.0,0.0,22.0,1.25,-24.0,-20.0,0.0,1.0,0.0,-5.0,-1.0
-2.0,2.86,3.68,0.0,-9.0,-13.0,-0.8,-40.0,2.0700000000000003,27.0,0.0,-3.0,-9.0,0.0,-5.0,-2.0
4.0,0.6399999999999997,-0.7400000000000002,0.0,1.0,-12.0,-1.2,20.0,1.51,41.0,0.0,13.0,12.0,0.0,-3.0,3.0
1.0,0.10999999999999988,0.5999999999999996,0.0,-2.0,-9.0,3.0,-50.0,-1.95,-31.0,0.0,-5.0,-2.0,0.0,-1.0,2.0
6.0,0.0,0.17000000000000037,-2.0,-12.0,-12.0,0.9999999999999998,-67.0,-0.5899999999999999,-50.0,0.0,6.0,0.0,0.0,-4.0,4.0
-7.0,-0.4800000000000004,-1.7200000000000002,-2.0,32.0,13.0,-1.0,35.0,7.24,-47.0,0.0,-4.0,-1.0,1.0,2.0,-6.0
2.0,1.9200000000000002,-2.2800000000000002,0.0,-15.0,-15.0,-1.0,42.0,7.08,-57.0,0.0,-6.0,0.0,0.0,7.0,2.0
-1.0,0.7199999999999998,1.6199999999999999,-2.0,-3.0,-15.0,-1.8,47.0,1.25,37.0,0.0,-3.0,1.0,0.0,3.0,-3.0
0.0,1.4399999999999995,0.29000000000000004,0.0,-6.0,-2.0,0.10000000000000003,0.0,1.38,14.0,0.0,-4.0,0.0,0.0,-6.0,0.0
-1.0,-0.20999999999999996,0.45999999999999996,0.0,13.0,2.0,0.09999999999999987,9.0,-1.8,-5.0,0.0,-18.0,-9.0,1.0,-3.0,-1.0
-8.0,-0.94,-0.7000000000000002,0.0,0.0,0.0,0.5,7.0,-0.2500000000000002,4.0,-5.0,3.0,-1.0,0.0,3.0,-5.0
4.0,-0.32000000000000006,-0.48,0.0,-12.0,4.0,0.5,-25.0,-0.52,18.0,-10.0,-8.0,-4.0,0.0,-1.0,1.0
1.0,1.33,0.7199999999999998,0.0,4.0,7.0,-0.3,14.0,0.32,11.0,15.0,-4.0,2.0,0.0,-7.0,-1.0
3.0,-1.3900000000000001,-0.6900000000000004,2.0,-5.0,-2.0,0.0,-6.0,2.86,8.0,0.0,-6.0,-5.0,0.0,0.0,3.0
3.0,-1.7200000000000002,-4.08,2.0,-18.0,-6.0,0.2,0.0,0.0,-54.0,0.0,8.0,2.0,0.0,-7.0,1.0
7.0,-3.27,-5.119999999999999,2.0,-7.0,0.0,0.2,38.0,0.75,-11.0,0.0,3.0,9.0,0.0,7.0,-1.0
-5.0,-1.54,-1.7900000000000005,0.0,0.0,5.0,-0.5,2.0,0.29000000000000004,30.0,0.0,10.0,3.0,0.0,5.0,-3.0
1.0,1.0299999999999994,0.43000000000000016,0.0,-10.0,0.0,0.5,12.0,-0.31999999999999984,-6.0,0.0,-1.0,3.0,1.0,-4.0,0.0
0.0,-1.1600000000000001,-0.3599999999999999,0.0,-3.0,5.0,-0.6,46.0,-1.46,-6.0,0.0,2.0,-2.0,0.0,-2.0,3.0
-4.0,-1.67,-1.6400000000000006,-3.0,-1.0,2.0,0.29999999999999993,5.0,2.0300000000000002,-28.0,0.0,-3.0,-5.0,0.0,4.0,-2.0
-2.0,-1.0499999999999998,-1.67,-2.0,-20.0,-10.0,0.6,45.0,0.17999999999999994,16.0,0.0,0.0,0.0,0.0,-2.0,4.0
-4.0,0.8400000000000003,-1.67,2.0,-10.0,-3.0,0.1,7.0,0.74,-5.0,12.0,-3.0,-3.0,0.0,-2.0,-5.0
-1.0,-0.77,0.9500000000000002,0.0,16.0,0.0,0.19999999999999996,5.0,0.8400000000000001,-16.0,0.0,-6.0,-5.0,0.0,-10.0,1.0
-4.0,-1.2200000000000002,0.11000000000000032,-2.0,4.0,6.0,0.8,27.0,3.22,16.0,10.0,-3.0,3.0,-1.0,3.0,-6.0
-2.0,2.04,-0.3500000000000001,0.0,-13.0,-4.0,0.7000000000000001,-23.0,0.13000000000000012,-10.0,0.0,2.0,0.0,0.0,1.0,-3.0
7.0,-0.18999999999999995,0.16000000000000014,0.0,-7.0,-1.0,0.0,0.0,-1.9699999999999998,-50.0,0.0,-1.0,-1.0,0.0,-3.0,4.0
0.0,-1.3000000000000003,-0.8900000000000001,2.0,20.0,-18.0,-0.30000000000000004,-35.0,2.42,-9.0,10.0,1.0,-1.0,-1.0,-5.0,0.0
2.0,0.5699999999999998,-0.10999999999999988,0.0,-6.0,6.0,0.0,8.0,-0.24,13.0,0.0,2.0,5.0,0.0,5.0,1.0
0.0,0.3400000000000003,2.8800000000000003,0.0,21.0,6.0,-0.9,-1.0,-0.3599999999999999,14.0,0.0,-4.0,-7.0,0.0,-4.0,-4.0
-4.0,0.2100000000000002,-1.1300000000000003,2.0,-8.0,-9.0,0.5,54.0,2.56,-18.0,-10.0,-2.0,4.0,0.0,0.0,-1.0
-3.0,0.5699999999999994,1.2599999999999998,0.0,11.0,17.0,0.30000000000000004,35.0,1.49,30.0,-20.0,-3.0,-6.0,0.0,-1.0,-4.0
-2.0,1.27,1.27,0.0,-16.0,-8.0,-0.3,-1.0,-2.32,10.0,0.0,4.0,-1.0,1.0,-4.0,-2.0
-2.0,-1.0099999999999998,1.4599999999999997,-2.0,9.0,3.0,-1.0999999999999999,3.0,0.08999999999999997,9.0,10.0,5.0,1.0,0.0,-2.0,1.0
1.0,0.17999999999999972,-0.8300000000000001,0.0,-19.0,-1.0,-0.2,-4.0,-0.18999999999999995,33.0,0.0,-14.0,-2.0,0.0,-4.0,-2.0
0.0,1.6,-0.5699999999999998,0.0,-3.0,-11.0,0.0,-22.0,-1.76,4.0,0.0,6.0,3.0,-1.0,-7.0,3.0
-3.0,1.6599999999999997,-1.04,0.0,-2.0,-5.0,1.0,-12.0,-2.9800000000000004,-23.0,0.0,16.0,3.0,0.0,10.0,-1.0
-1.0,-1.6800000000000002,0.2200000000000002,0.0,-8.0,-1.0,-0.2,45.0,0.050000000000000044,-25.0,0.0,1.0,-6.0,1.0,-7.0,-4.0
6.0,0.7999999999999998,-0.48,0.0,-4.0,-6.0,1.5999999999999999,-11.0,-0.9,-26.0,16.0,16.0,6.0,0.0,-3.0,8.0
-1.0,-1.2400000000000002,0.03000000000000025,2.0,3.0,-1.0,-2.9,-16.0,-0.76,-7.0,0.0,0.0,0.0,0.0,3.0,1.0
1.0,-0.79,-2.3800000000000003,-2.0,-9.0,-17.0,0.0,15.0,2.2,-14.0,0.0,3.0,1.0,0.0,2.0,0.0
4.0,-0.6099999999999999,0.3500000000000001,-2.0,11.0,7.0,0.2,27.0,-0.17999999999999994,-43.0,0.0,-1.0,0.0,0.0,-2.0,3.0
-1.0,1.29,0.020000000000000018,3.0,-32.0,-21.0,1.3,-20.0,-6.84,-32.0,0.0,-5.0,1.0,1.0,-2.0,-1.0
1.0,0.5099999999999998,1.1599999999999997,0.0,-7.0,15.0,-0.5,41.0,2.64,12.0,10.0,-2.0,1.0,0.0,5.0,3.0
2.0,2.83,-1.7999999999999998,0.0,-11.0,-2.0,0.3,-10.0,-0.97,-48.0,0.0,-3.0,1.0,0.0,4.0,0.0
2.0,1.0000000000000002,-0.20999999999999996,2.0,9.0,-19.0,3.1,7.0,0.41999999999999993,-64.0,10.0,3.0,-2.0,0.0,-9.0,2.0
-4.0,1.0099999999999998,-0.04999999999999982,3.0,0.0,-10.0,0.0,-18.0,-0.8499999999999999,-33.0,0.0,2.0,5.0,0.0,1.0,0.0
2.0,0.44999999999999973,0.74,0.0,-5.0,2.0,0.7999999999999999,-15.0,-2.3000000000000003,12.0,0.0,3.0,0.0,0.0,-3.0,1.0
-3.0,0.4199999999999995,-1.1899999999999995,-2.0,-8.0,-1.0,-0.7,-1.0,1.3699999999999999,31.0,0.0,4.0,0.0,0.0,5.0,0.0
-1.0,0.20000000000000018,0.38000000000000034,0.0,4.0,7.0,-0.30000000000000004,27.0,-0.5399999999999999,26.0,-10.0,0.0,-11.0,0.0,0.0,-2.0
-5.0,0.73,-2.1399999999999997,0.0,0.0,-3.0,0.0,-48.0,0.37000000000000005,-29.0,-10.0,-6.0,2.0,0.0,-2.0,-5.0
2.0,0.2799999999999998,0.5899999999999999,-2.0,-10.0,-5.0,-0.5,-3.0,-0.8399999999999999,-13.0,0.0,-1.0,-3.0,0.0,-3.0,0.0
-1.0,0.4700000000000002,1.0699999999999998,0.0,-5.0,-8.0,0.39999999999999997,-58.0,-1.56,-35.0,0.0,-14.0,-7.0,0.0,-1.0,-1.0
1.0,-4.07,0.7600000000000007,0.0,5.0,2.0,-0.2,-18.0,-0.44,28.0,0.0,-5.0,-5.0,1.0,0.0,-4.0
5.0,0.8300000000000001,0.3700000000000001,0.0,-14.0,-8.0,-0.6000000000000001,-31.0,-1.8599999999999999,-31.0,0.0,5.0,13.0,1.0,7.0,1.0
5.0,-2.76,2.9499999999999997,2.0,-12.0,28.0,-3.5,30.0,-6.079999999999999,80.0,0.0,-5.0,-2.0,0.0,-6.0,2.0
1.0,0.31999999999999984,-1.7499999999999996,0.0,-10.0,-8.0,0.0,35.0,0.74,-12.0,0.0,5.0,10.0,0.0,1.0,0.0
0.0,0.40000000000000036,0.08000000000000007,0.0,-14.0,9.0,-0.7000000000000001,-33.0,-0.74,24.0,0.0,-6.0,-8.0,0.0,-4.0,3.0
1.0,0.26000000000000023,0.8900000000000001,-2.0,7.0,14.0,1.5,30.0,-1.1099999999999999,48.0,0.0,-6.0,-5.0,1.0,-5.0,1.0
1.0,0.43999999999999995,1.7999999999999998,0.0,6.0,-7.0,0.3,13.0,-1.0899999999999999,20.0,0.0,0.0,-2.0,-1.0,0.0,1.0
1.0,-0.27,-0.99,-2.0,-3.0,4.0,0.5000000000000001,0.0,0.0,33.0,0.0,0.0,2.0,0.0,-2.0,0.0
2.0,-0.5,1.8400000000000003,0.0,4.0,1.0,1.0,4.0,0.74,-14.0,-10.0,6.0,1.0,0.0,5.0,-2.0
2.0,-1.07,-0.3899999999999997,0.0,10.0,2.0,0.3,21.0,1.19,-25.0,-10.0,12.0,1.0,1.0,1.0,-1.0
2.0,0.040000000000000036,0.9400000000000004,0.0,-3.0,5.0,-0.09999999999999998,4.0,0.09999999999999987,16.0,0.0,-13.0,-8.0,1.0,-6.0,3.0
0.0,-0.8500000000000005,0.010000000000000231,-2.0,1.0,-7.0,1.3,12.0,0.93,-3.0,-10.0,2.0,1.0,0.0,0.0,0.0
-5.0,-0.3900000000000001,0.28000000000000025,0.0,-7.0,2.0,-1.0,-3.0,-0.44000000000000006,20.0,20.0,5.0,2.0,0.0,8.0,-1.0
6.0,-1.4299999999999997,-1.88,0.0,3.0,-2.0,-0.6000000000000001,27.0,2.8000000000000003,-3.0,0.0,-3.0,-2.0,0.0,-6.0,1.0
-6.0,1.92,-0.9100000000000001,-2.0,-9.0,9.0,-0.09999999999999998,-39.0,3.8000000000000003,6.0,0.0,7.0,2.0,0.0,0.0,-4.0
1.0,-0.6100000000000003,-0.34999999999999964,0.0,5.0,0.0,0.5,0.0,0.33000000000000007,-4.0,0.0,2.0,6.0,0.0,8.0,0.0
